------------->第1类：学院		<-------------
华中科技大学	华中科技大学电气与电子工程学院	华中科技大学电气与电子工程学院网站 ... 四川大学电气信息学院雷勇副院长一行来院交 李培根校长到电气学院考察调研 “亚狮龙”杯羽毛球赛电气学院喜获亚军
华中科技大学	华中科技大学_互动百科	华中科技大学基本信息,华中科技大学概述,学科设置,华中科技大学师资力量,华中科技大学人才培养,交流合作,华中科技大学历史沿革,华中科技大学院系设置.
华中科技大学	华中科技大学--人民网教育频道中国最权威教育网站--人民网	华中科技大学是国家教育部直属的全国重点大学，由原华中理工大学、原同济医科大学、原武汉城市建设学院和科技部干部管理学院于2000年5月26日合并成立。 ...
华中科技大学	华中科技大学_新浪院校库_新浪教育_新浪网	华中科技大学是国家教育部直属的全国重点大学，由原华中理工大学、同济医科大学、武汉城市建设学院于2000年5月26日合并成立，是首批列入国家“211工程”重点建设和“985 ...
华中科技大学	院校简介-华中科技大学	2010年5月6日 ... 华中科技大学是教育部直属的全国重点大学，由原华中理工大学、同济医科大学、武汉城市建设学院合并而成。是涵盖理、工、医、文、管等多学科的综合性 ...
华中科技大学	华中科技大学人才招聘网	华中科技大学是国家教育部直属的全国重点大学，由原华中理工大学、同济医科大学、武汉城市建设学院合并成立，是首批列入国家“211工程”重点建设和“985工程”建设的...
华中科技大学	华中科技大学图书馆医学分馆	华中科技大学医学图书馆...华中科技大学 华中科技大学图书馆 华中科技大学同济医学院 国内大学 版权@华中科技大学图书馆医学分馆 地址：航空路13号 2008年1月1日更新...
华中科技大学	华中科技大学化学与化工学院	华中科技大学化学与化工学院设有应用化学、化学工程两个系、一个实验教学中心和无机与化学生物学、有机与精细化工、分析科学、物化与工业催化、材料与环境化学、高分子...
华中科技大学	华中科技大学建筑与城市规划学院	华中科技大学建筑与城市规划学院由原华中理工大学建筑学院与原武汉城市建设学院规划建筑系于2000年5月合并而成；下设建筑学系、城市规划系、环境艺术系、《新建筑》...
华中科技大学	华中科技大学环境学院	『学院概况』 学院简介 组织机构 学院年鉴 现任领导 制度建设  『人才培养』 本科生工作 研究生工作 博士生工作  『师资力量』 院士风采 教师队伍 研究生导师 ...
华中科技大学	华中科技大学bbs吧_贴吧	共有主题数:123个 贴子数:189篇 ...寻华中科技大学药物分析学专业的学长学姐. ...本人想考贵校公共管理学院的人力资源管理研究生，寻求相关专... ...求购华中...
华中科技大学	华中科技大学文华学院怎样_百度知道	厦门的嘉庚学院并不是特别了解。隶属厦门大学应该不错。厦门大学的师资力量非常强，因为财政原因嘛。我是燕山大学的大三学生，但不是里仁的。虽然在燕山大学，但也...
华中科技大学	华中科技大学往年录取分数表-中国教育在线	研招咨询 高职高专 高考招生 公务员 软件学院 远程教育 专题汇总 大学导航 在线...华中科技大学2002年录取情况统计表 华中科技大学在湖北省理科最低录取分数确定...
华中科技大学	华中科技大学管理学院EMBA教育及高级管理培训中心	华中科技大学 管理学院主页 多伦多大学 世界经理人 ┼ 地址:湖北武汉洪山区珞瑜路1037号华中科技大学管理学院逸夫科技南楼508室 邮编: 430074 电话: 027-87543354 ...
